0;0;0;0;250000;0;0
1;2496,28;1801,83;694,44;249305,56;1801,83;694,44
2;2491,27;1796,83;694,44;248611,11;3598,66;1388,89
3;2486,27;1791,82;694,44;247916,67;5390,48;2083,33
4;2481,26;1786,82;694,44;247222,22;7177,29;2777,78
5;2476,25;1781,81;694,44;246527,78;8959,1;3472,22
6;2471,25;1776,81;694,44;245833,33;10735,91;4166,67
7;2466,24;1771,8;694,44;245138,89;12507,71;4861,11
8;2461,24;1766,8;694,44;244444,44;14274,5;5555,56
9;2456,23;1761,79;694,44;243750;16036,29;6250
10;2451,23;1756,79;694,44;243055,56;17793,08;6944,44
11;2446,22;1751,78;694,44;242361,11;19544,86;7638,89
12;2441,22;1746,77;694,44;241666,67;21291,63;8333,33
13;2436,21;1741,77;694,44;240972,22;23033,4;9027,78
14;2431,21;1736,76;694,44;240277,78;24770,17;9722,22
15;2426,2;1731,76;694,44;239583,33;26501,93;10416,67
16;2421,2;1726,75;694,44;238888,89;28228,68;11111,11
17;2416,19;1721,75;694,44;238194,44;29950,43;11805,56
18;2411,19;1716,74;694,44;237500;31667,18;12500
19;2406,18;1711,74;694,44;236805,56;33378,92;13194,44
20;2401,18;1706,73;694,44;236111,11;35085,65;13888,89
21;2396,17;1701,73;694,44;235416,67;36787,38;14583,33
22;2391,17;1696,72;694,44;234722,22;38484,1;15277,78
23;2386,16;1691,72;694,44;234027,78;40175,82;15972,22
24;2381,16;1686,71;694,44;233333,33;41862,54;16666,67
25;2376,15;1681,71;694,44;232638,89;43544,25;17361,11
26;2371,15;1676,7;694,44;231944,44;45220,95;18055,56
27;2366,14;1671,7;694,44;231250;46892,65;18750
28;2361,14;1666,69;694,44;230555,56;48559,34;19444,44
29;2356,13;1661,69;694,44;229861,11;50221,03;20138,89
30;2351,13;1656,68;694,44;229166,67;51877,71;20833,33
31;2346,12;1651,68;694,44;228472,22;53529,39;21527,78
32;2341,12;1646,67;694,44;227777,78;55176,06;22222,22
33;2336,11;1641,67;694,44;227083,33;56817,73;22916,67
34;2331,11;1636,66;694,44;226388,89;58454,4;23611,11
35;2326,1;1631,66;694,44;225694,44;60086,05;24305,56
36;2321,1;1626,65;694,44;225000;61712,71;25000
37;2316,09;1621,65;694,44;224305,56;63334,35;25694,44
38;2311,09;1616,64;694,44;223611,11;64951;26388,89
39;2306,08;1611,64;694,44;222916,67;66562,63;27083,33
40;2301,08;1606,63;694,44;222222,22;68169,27;27777,78
41;2296,07;1601,63;694,44;221527,78;69770,89;28472,22
42;2291,07;1596,62;694,44;220833,33;71367,52;29166,67
43;2286,06;1591,62;694,44;220138,89;72959,13;29861,11
44;2281,06;1586,61;694,44;219444,44;74545,75;30555,56
45;2276,05;1581,61;694,44;218750;76127,35;31250
46;2271,05;1576,6;694,44;218055,56;77703,95;31944,44
47;2266,04;1571,6;694,44;217361,11;79275,55;32638,89
48;2261,04;1566,59;694,44;216666,67;80842,14;33333,33
